NAME,population_estimate,population_margin,state,county,tract,block group
"Block Group 2, Census Tract 87, Multnomah County, Oregon",1655,315,41,51,8700,2
"Block Group 1, Census Tract 87, Multnomah County, Oregon",1689,402,41,51,8700,1
"Block Group 3, Census Tract 87, Multnomah County, Oregon",1403,347,41,51,8700,3
"Block Group 2, Census Tract 91.02, Multnomah County, Oregon",2466,568,41,51,9102,2
"Block Group 1, Census Tract 91.02, Multnomah County, Oregon",1096,493,41,51,9102,1
"Block Group 3, Census Tract 91.02, Multnomah County, Oregon",694,339,41,51,9102,3
"Block Group 4, Census Tract 91.02, Multnomah County, Oregon",2464,596,41,51,9102,4
"Block Group 1, Census Tract 96.04, Multnomah County, Oregon",2153,374,41,51,9604,1
"Block Group 2, Census Tract 96.04, Multnomah County, Oregon",3322,568,41,51,9604,2
"Block Group 2, Census Tract 96.05, Multnomah County, Oregon",1710,497,41,51,9605,2
"Block Group 1, Census Tract 96.05, Multnomah County, Oregon",1479,387,41,51,9605,1
"Block Group 3, Census Tract 96.05, Multnomah County, Oregon",1805,491,41,51,9605,3
"Block Group 2, Census Tract 96.06, Multnomah County, Oregon",2761,555,41,51,9606,2
"Block Group 1, Census Tract 96.06, Multnomah County, Oregon",2974,479,41,51,9606,1
"Block Group 3, Census Tract 104.02, Multnomah County, Oregon",2514,504,41,51,10402,3
"Block Group 1, Census Tract 104.02, Multnomah County, Oregon",1817,402,41,51,10402,1
"Block Group 2, Census Tract 104.02, Multnomah County, Oregon",2650,452,41,51,10402,2
"Block Group 4, Census Tract 104.08, Multnomah County, Oregon",1403,458,41,51,10408,4
"Block Group 1, Census Tract 104.08, Multnomah County, Oregon",1150,476,41,51,10408,1
"Block Group 3, Census Tract 104.08, Multnomah County, Oregon",1199,595,41,51,10408,3
"Block Group 2, Census Tract 104.08, Multnomah County, Oregon",2468,1324,41,51,10408,2
"Block Group 3, Census Tract 103.05, Multnomah County, Oregon",1223,298,41,51,10305,3
"Block Group 2, Census Tract 103.05, Multnomah County, Oregon",1718,347,41,51,10305,2
"Block Group 1, Census Tract 103.05, Multnomah County, Oregon",1262,279,41,51,10305,1
"Block Group 2, Census Tract 97.02, Multnomah County, Oregon",2084,655,41,51,9702,2
"Block Group 1, Census Tract 97.02, Multnomah County, Oregon",3751,1021,41,51,9702,1
"Block Group 4, Census Tract 97.02, Multnomah County, Oregon",2007,507,41,51,9702,4
"Block Group 3, Census Tract 97.02, Multnomah County, Oregon",1053,424,41,51,9702,3
"Block Group 3, Census Tract 98.03, Multnomah County, Oregon",2300,736,41,51,9803,3
"Block Group 4, Census Tract 98.03, Multnomah County, Oregon",1479,487,41,51,9803,4
"Block Group 1, Census Tract 98.03, Multnomah County, Oregon",2076,514,41,51,9803,1
"Block Group 2, Census Tract 98.03, Multnomah County, Oregon",2123,651,41,51,9803,2
"Block Group 1, Census Tract 103.04, Multnomah County, Oregon",2268,432,41,51,10304,1
"Block Group 2, Census Tract 103.04, Multnomah County, Oregon",2125,382,41,51,10304,2
"Block Group 1, Census Tract 74, Multnomah County, Oregon",1347,411,41,51,7400,1
"Block Group 2, Census Tract 74, Multnomah County, Oregon",2687,368,41,51,7400,2
"Block Group 3, Census Tract 7.01, Multnomah County, Oregon",1452,268,41,51,701,3
"Block Group 1, Census Tract 7.01, Multnomah County, Oregon",1314,207,41,51,701,1
"Block Group 2, Census Tract 7.01, Multnomah County, Oregon",1208,299,41,51,701,2
"Block Group 4, Census Tract 7.01, Multnomah County, Oregon",850,162,41,51,701,4
"Block Group 2, Census Tract 16.02, Multnomah County, Oregon",930,281,41,51,1602,2
